Company,TypeName,Ram(GB),Weight(kg),Touchscreen,IPS,PPI,Cpu_Brand,HDD(GB),SSD(GB),Hybrid(GB),Flash_Storage(GB),Gpu_Brand,Os,Price_BDT
Dell,Ultrabook,8,1.88,0,0,141.21199808219862,Intel Core i7,0,512,0,0,Intel,Windows,11.96047257345776
HP,Notebook,8,2.5,0,0,127.33567457123111,Intel Core i5,1024,0,0,0,Nvidia,Windows,11.589830949007535
Chuwi,Notebook,4,1.89,0,0,141.21199808219862,Other Intel processors,0,0,0,64,Intel,Windows,10.293094244709835
Asus,Notebook,2,1.65,0,0,111.93520355955211,AMD Processor,0,0,0,32,AMD,Windows,10.085183913936165
HP,Notebook,4,2.71,0,0,127.33567457123111,AMD Processor,512,0,0,0,AMD,Windows,10.876385435221573
Dell,Ultrabook,16,1.2,1,0,276.053530085501,Intel Core i7,0,512,0,0,Intel,Windows,12.325054961762039
Apple,Ultrabook,8,1.35,0,0,127.67794013309688,Intel Core i5,0,0,0,256,Intel,Mac OS,11.697644146363904
Lenovo,Notebook,4,1.44,0,0,111.93520355955211,Other Intel processors,0,0,0,64,Intel,Windows,10.309319260105164
Acer,Notebook,4,2.1,0,0,100.45466986113651,Intel Core i3,1024,0,0,0,Intel,Others/No OS/Linux,10.697249003128666
Dell,Notebook,8,2.8,0,1,127.33567457123111,Intel Core i5,1024,128,0,0,AMD,Windows,11.678422954151621
HP,Notebook,4,1.86,0,0,100.45466986113651,Intel Core i5,1024,0,0,0,Intel,Windows,10.983613347424248
HP,Notebook,8,2.1,0,0,141.21199808219862,Intel Core i5,0,256,0,0,Nvidia,Windows,11.570675370511132
Asus,Notebook,4,2.0,0,0,141.21199808219862,Intel Core i3,1024,0,0,0,Intel,Others/No OS/Linux,10.755474402409464
Dell,Gaming,16,2.65,0,1,141.21199808219862,Intel Core i7,1024,256,0,0,Nvidia,Windows,12.104449581335809
Asus,Notebook,8,2.3,0,0,100.45466986113651,Intel Core i5,1024,0,0,0,Nvidia,Others/No OS/Linux,11.05144540666537
Acer,Notebook,4,2.2,0,1,141.21199808219862,Intel Core i5,0,256,0,0,Intel,Windows,11.316922746420394
Dell,2 in 1 Convertible,12,2.77,1,0,127.33567457123111,Intel Core i5,1024,0,0,0,Nvidia,Windows,11.698649559893719
Apple,Ultrabook,8,1.37,0,1,226.98300468106115,Intel Core i5,0,256,0,0,Intel,Mac OS,12.049605952480244
Lenovo,Notebook,4,2.2,0,0,100.45466986113651,Intel Core i3,0,128,0,0,Intel,Others/No OS/Linux,10.702682512534036
Asus,Gaming,8,3.2,0,0,127.33567457123111,AMD Processor,1024,256,0,0,AMD,Windows,11.961245699384804
Dell,Notebook,4,2.3,0,0,141.21199808219862,Intel Core i5,0,256,0,0,AMD,Windows,11.251794439750519
Asus,Notebook,4,2.8,0,0,90.58340172449303,Other Intel processors,1024,0,0,0,Nvidia,Windows,10.9360668705998
Lenovo,2 in 1 Convertible,4,0.69,1,1,224.17380907857276,Other Intel processors,0,0,0,64,Intel,Others/No OS/Linux,10.55708796679324
Acer,Notebook,8,2.2,0,1,141.21199808219862,Intel Core i7,0,256,0,0,Nvidia,Windows,11.526483142902293
HP,Notebook,4,1.86,0,0,141.21199808219862,AMD Processor,0,256,0,0,AMD,Windows,10.779560274121492
HP,Notebook,8,1.49,0,0,165.6321180513006,Intel Core i7,0,512,0,0,Intel,Windows,11.797683265904762
Acer,Notebook,4,2.4,0,0,100.45466986113651,Intel Core i3,1024,0,0,0,Intel,Windows,10.742530002024337
Dell,Notebook,8,2.13,0,0,141.21199808219862,Intel Core i7,0,256,0,0,AMD,Windows,11.435417874503221
HP,Notebook,4,1.91,0,0,141.21199808219862,Intel Core i3,0,128,0,0,Intel,Windows,10.876385435221573
Asus,Notebook,4,2.0,0,0,100.45466986113651,Intel Core i5,0,256,0,0,Intel,Windows,11.165535850056163
MSI,Gaming,16,2.43,0,0,127.33567457123111,Intel Core i7,2048,256,0,0,Nvidia,Windows,12.595330455393924
Asus,Notebook,4,2.0,0,0,141.21199808219862,Intel Core i3,0,256,0,0,Intel,Others/No OS/Linux,10.820158212228568
Dell,Notebook,16,2.8,0,0,127.33567457123111,Intel Core i7,2048,256,0,0,AMD,Windows,11.961245699384804
Dell,Ultrabook,8,1.7,0,0,157.3505121487356,Intel Core i5,0,256,0,0,Intel,Windows,11.570675370511132
Lenovo,Notebook,8,1.7,0,1,157.3505121487356,Intel Core i3,0,256,0,0,Intel,Others/No OS/Linux,11.187153772771103
Asus,Notebook,8,1.4,0,0,157.3505121487356,Intel Core i5,0,256,0,0,Intel,Windows,11.63883538783822
HP,Notebook,8,1.86,0,0,141.21199808219862,Intel Core i5,0,256,0,0,Intel,Windows,11.328581865224635
Asus,Ultrabook,16,1.8,0,0,141.21199808219862,Intel Core i7,0,512,0,0,Nvidia,Windows,12.384260671042522
HP,Notebook,4,1.86,0,0,100.45466986113651,Intel Core i3,512,0,0,0,AMD,Windows,10.87568591634858
HP,Notebook,4,1.44,0,0,111.93520355955211,Other Intel processors,0,32,0,0,Intel,Windows,10.225607282932941
Lenovo,Notebook,4,1.9,0,0,141.21199808219862,Intel Core i5,1024,0,0,0,Intel,Windows,11.099982467006106
Asus,Gaming,12,3.0,0,0,127.33567457123111,Intel Core i7,1024,0,0,0,Nvidia,Others/No OS/Linux,11.647299002890838
Microsoft,Ultrabook,4,1.252,1,0,200.84255993695703,Intel Core i5,0,128,0,0,Intel,Windows,11.784912512365032
Dell,Ultrabook,8,1.4,0,1,165.6321180513006,Intel Core i7,0,256,0,0,AMD,Windows,11.653608721935166
Dell,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i7,0,256,0,0,AMD,Windows,11.560390942605942
MSI,Gaming,8,2.7,0,0,127.33567457123111,Intel Core i5,1024,128,0,0,Nvidia,Windows,11.790405674937412
Acer,Notebook,8,2.1,0,0,111.93520355955211,Intel Core i3,1024,0,0,0,Intel,Windows,10.755474402409464
Asus,Gaming,8,2.2,0,0,141.21199808219862,Intel Core i7,1024,0,0,0,Nvidia,Windows,11.647299002890838
Lenovo,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i5,2048,0,0,0,Intel,Others/No OS/Linux,11.0438014487515
Dell,Notebook,8,2.02,0,0,141.21199808219862,Intel Core i7,1024,128,0,0,Intel,Windows,11.54299869797637
Acer,Notebook,4,2.2,0,0,141.21199808219862,Intel Core i3,1024,0,0,0,Nvidia,Windows,11.064761602328948
HP,Notebook,8,2.5,0,0,127.33567457123111,Intel Core i5,1024,128,0,0,Nvidia,Windows,11.676378458094717
Dell,Ultrabook,8,1.88,0,1,141.21199808219862,Intel Core i5,0,256,0,0,Intel,Windows,11.791465879504726
Apple,Ultrabook,8,0.92,0,1,226.41554716935852,Intel Core i5,0,512,0,0,Intel,Mac OS,12.111761966058932
HP,Notebook,8,1.63,0,0,157.3505121487356,Intel Core i5,0,256,0,0,Intel,Windows,11.548823355967214
Lenovo,Notebook,4,2.2,0,0,141.21199808219862,AMD Processor,0,128,0,0,AMD,Windows,10.780850328399447
Acer,Notebook,4,2.1,0,0,100.45466986113651,AMD Processor,1024,0,0,0,AMD,Windows,10.77077709797722
Dell,Gaming,16,2.65,0,1,141.21199808219862,Intel Core i7,1024,128,0,0,Nvidia,Windows,11.999011575046008
HP,Ultrabook,8,1.83,0,1,141.21199808219862,Intel Core i7,0,256,0,0,Nvidia,Windows,11.341543848214608
HP,Notebook,8,1.96,0,0,141.21199808219862,Intel Core i5,0,256,0,0,Intel,Windows,11.187139921684139
Asus,Gaming,16,2.2,0,1,141.21199808219862,Intel Core i7,1024,128,0,0,Nvidia,Windows,12.070522072875882
Dell,Ultrabook,8,1.21,0,1,165.6321180513006,Intel Core i7,0,256,0,0,Intel,Windows,12.199818126742283
Asus,Gaming,8,2.45,0,0,141.21199808219862,AMD Processor,1024,0,0,0,AMD,Windows,11.341543848214608
Acer,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i7,1024,0,0,0,Nvidia,Windows,11.3271379085331
HP,Notebook,16,1.49,0,0,165.6321180513006,Intel Core i7,0,512,0,0,Intel,Windows,11.879469548347384
Dell,Gaming,8,2.65,0,0,141.21199808219862,Intel Core i5,0,256,0,0,Nvidia,Windows,11.877797718970134
Asus,Ultrabook,8,1.25,0,0,157.3505121487356,Intel Core i7,0,256,0,0,Intel,Windows,11.747483621099692
Acer,2 in 1 Convertible,8,1.5,1,1,165.6321180513006,Intel Core i5,0,256,0,0,Intel,Windows,11.533590465413813
Dell,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i7,1024,0,0,0,AMD,Others/No OS/Linux,11.188648562048893
Dell,Notebook,4,2.2,0,0,141.21199808219862,Intel Core i3,0,256,0,0,AMD,Others/No OS/Linux,10.976046720208542
Asus,Notebook,6,2.0,0,0,141.21199808219862,Intel Core i3,0,256,0,0,Nvidia,Windows,11.14972930404123
HP,Gaming,12,2.62,0,1,141.21199808219862,Intel Core i7,1024,128,0,0,Nvidia,Windows,11.921990751319218
HP,Notebook,8,1.91,0,0,141.21199808219862,Intel Core i7,0,256,0,0,AMD,Windows,11.369759234576504
HP,Notebook,4,2.1,0,0,141.21199808219862,AMD Processor,512,0,0,0,AMD,Windows,10.646947546969663
Dell,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i5,1024,0,0,0,AMD,Others/No OS/Linux,11.264233309809644
HP,Ultrabook,8,1.38,0,1,165.6321180513006,Intel Core i7,0,256,0,0,Nvidia,Windows,11.812088873905543
Microsoft,Ultrabook,8,1.252,1,0,200.84255993695703,Intel Core i5,0,256,0,0,Intel,Windows,11.992322339232558
HP,Notebook,6,1.58,0,1,157.3505121487356,Intel Core i5,0,256,0,0,Nvidia,Windows,11.282618819846302
Lenovo,Notebook,4,1.85,0,0,141.21199808219862,Intel Core i3,1024,0,0,0,Intel,Windows,10.819918274611197
Asus,Ultrabook,8,1.3,0,1,157.3505121487356,Intel Core i7,0,256,0,0,Nvidia,Windows,11.876123089898154
MSI,Gaming,16,2.2,0,0,141.21199808219862,Intel Core i7,1024,256,0,0,Nvidia,Windows,11.961245699384804
Lenovo,Notebook,8,1.58,0,1,157.3505121487356,Intel Core i7,0,256,0,0,Intel,Windows,12.091693809007353
Asus,Ultrabook,16,1.5,0,0,141.21199808219862,Intel Core i7,1024,256,0,0,Nvidia,Windows,11.932346073839886
Dell,Ultrabook,8,1.23,1,0,276.053530085501,Intel Core i7,0,256,0,0,Intel,Windows,12.021007328065156
Lenovo,2 in 1 Convertible,8,1.37,1,1,165.6321180513006,Intel Core i5,0,256,0,0,Intel,Windows,12.035408871953685
HP,Notebook,4,1.63,0,1,111.93520355955211,Intel Core i5,512,0,0,0,Intel,Windows,11.373916239232809
Dell,Ultrabook,8,1.21,0,1,165.6321180513006,Intel Core i5,0,256,0,0,Intel,Windows,12.187618408746772
HP,2 in 1 Convertible,8,1.26,1,1,165.6321180513006,Intel Core i5,0,256,0,0,Intel,Windows,12.035402941476667
HP,Notebook,8,1.63,0,0,157.3505121487356,Intel Core i7,0,512,0,0,Intel,Windows,11.780307886630112
Dell,Notebook,8,2.16,0,1,141.21199808219862,Intel Core i7,1024,256,0,0,Nvidia,Windows,11.822158635252306
Asus,Notebook,4,2.0,0,0,127.33567457123111,Intel Core i3,1024,0,0,0,Nvidia,Windows,11.126939402399548
Asus,Notebook,8,1.7,0,0,141.21199808219862,Intel Core i7,0,256,0,0,Nvidia,Windows,11.811191330961654
Acer,Notebook,6,2.1,1,1,141.21199808219862,Intel Core i3,1024,0,0,0,Intel,Windows,10.96358421275364
MSI,Gaming,16,1.8,0,0,141.21199808219862,Intel Core i7,2048,256,0,0,Nvidia,Windows,12.50679556529529
Lenovo,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i5,0,256,0,0,Nvidia,Others/No OS/Linux,11.236025060883124
HP,Notebook,16,2.5,0,0,127.33567457123111,Intel Core i7,0,512,0,0,Nvidia,Windows,11.939453843338717
Acer,Notebook,4,2.1,0,0,100.45466986113651,AMD Processor,0,256,0,0,AMD,Windows,10.903365472216551
HP,Notebook,4,1.86,0,0,100.45466986113651,Other Intel processors,512,0,0,0,Intel,Others/No OS/Linux,10.348718097203708
HP,Notebook,8,1.63,0,0,157.3505121487356,Intel Core i5,1024,0,0,0,Intel,Windows,11.491395346419866
Asus,Notebook,4,1.65,0,0,111.93520355955211,AMD Processor,0,64,0,0,AMD,Windows,10.419479806253477
Dell,Notebook,16,2.8,0,0,127.33567457123111,Intel Core i7,2048,256,0,0,AMD,Windows,12.033259737903975
HP,Notebook,8,2.5,0,0,127.33567457123111,Intel Core i5,0,256,0,0,Intel,Windows,11.624922907423683
Dell,Notebook,8,2.36,0,0,100.45466986113651,Intel Core i5,1024,0,0,0,AMD,Windows,11.251781455688455
Dell,Notebook,4,2.2,0,0,141.21199808219862,Intel Core i3,1024,0,0,0,AMD,Windows,10.898903648375788
Acer,Ultrabook,8,1.6,0,1,157.3505121487356,Intel Core i7,0,256,0,0,Intel,Windows,11.576350866820327
Acer,Notebook,4,2.2,0,0,141.21199808219862,Intel Core i3,0,256,0,0,Nvidia,Windows,11.141035355225016
HP,Notebook,8,2.05,0,0,100.45466986113651,Intel Core i7,1024,0,0,0,Intel,Windows,11.185476396846704
HP,Notebook,8,1.63,0,0,157.3505121487356,Intel Core i7,0,256,0,0,Intel,Windows,11.687576007959835
Lenovo,Notebook,4,1.9,0,0,100.45466986113651,Other Intel processors,1024,0,0,0,Intel,Others/No OS/Linux,10.322724064728211
Asus,Gaming,8,3.0,0,0,127.33567457123111,Intel Core i5,1024,128,0,0,Nvidia,Windows,11.635647395293827
Lenovo,Notebook,4,2.2,0,0,141.21199808219862,Intel Core i5,1024,0,0,0,Nvidia,Others/No OS/Linux,11.004496965803959
HP,Notebook,4,1.32,0,1,165.6321180513006,Intel Core i5,0,256,0,0,Intel,Windows,11.341543848214608
Acer,Notebook,4,3.0,0,1,127.33567457123111,Intel Core i3,1024,0,0,0,Nvidia,Windows,11.276532020228442
Lenovo,Notebook,8,1.75,0,1,157.3505121487356,Intel Core i5,0,256,0,0,AMD,Windows,11.8094161276284
Lenovo,Gaming,8,2.4,0,1,141.21199808219862,Intel Core i7,0,256,0,0,Nvidia,Others/No OS/Linux,11.55923636783348
Toshiba,Notebook,4,2.1,0,0,100.45466986113651,Intel Core i5,512,0,0,0,Intel,Windows,11.192155302996145
HP,Notebook,4,1.86,0,0,100.45466986113651,AMD Processor,0,256,0,0,AMD,Windows,10.702682512534036
Asus,Ultrabook,8,1.25,0,0,157.3505121487356,Intel Core i7,0,256,0,0,Intel,Windows,11.794051090822764
HP,Ultrabook,8,0.97,1,1,352.4651472131677,Other Intel processors,0,512,0,0,Intel,Windows,12.399775027683797
Asus,Notebook,4,2.0,0,0,141.21199808219862,Other Intel processors,1024,0,0,0,Intel,Windows,10.632532624093058
MSI,Gaming,16,2.9,0,0,127.33567457123111,Intel Core i7,1024,256,0,0,Nvidia,Windows,12.407195511475114
Acer,Notebook,4,2.1,0,0,100.45466986113651,Intel Core i3,1024,0,0,0,Intel,Windows,10.894440388718705
Dell,Gaming,16,2.56,0,0,141.21199808219862,Intel Core i7,0,512,0,0,Nvidia,Windows,11.92220329540631
Dell,Gaming,8,2.62,0,0,141.21199808219862,Intel Core i7,0,0,1024,0,Nvidia,Windows,11.59317738152729
Lenovo,Notebook,4,1.9,0,0,100.45466986113651,Intel Core i5,0,128,0,0,Intel,Windows,11.00248310108412
MSI,Gaming,16,2.8,0,0,127.33567457123111,Intel Core i7,1024,256,0,0,Nvidia,Windows,12.336227719801212
HP,Ultrabook,4,1.48,0,0,157.3505121487356,Intel Core i5,0,256,0,0,Intel,Windows,11.778461616757182
HP,Notebook,6,1.91,0,0,141.21199808219862,Intel Core i5,0,256,0,0,AMD,Windows,11.220003019048102
Lenovo,2 in 1 Convertible,4,1.74,1,1,157.3505121487356,Intel Core i3,0,256,0,0,Intel,Windows,11.236025060883124
Asus,2 in 1 Convertible,8,1.1,1,0,165.6321180513006,Intel Core i5,0,256,0,0,Intel,Windows,11.973484635387964
Dell,2 in 1 Convertible,8,1.56,1,0,141.21199808219862,Intel Core i7,0,256,0,0,Intel,Windows,11.747483621099692
Toshiba,Notebook,4,2.1,0,0,100.45466986113651,Intel Core i3,512,0,0,0,Intel,Windows,10.894440388718705
Asus,Notebook,4,2.03,0,0,100.45466986113651,AMD Processor,1024,0,0,0,AMD,Windows,10.790823099954862
Acer,Notebook,4,3.0,0,1,127.33567457123111,Intel Core i5,0,256,0,0,Nvidia,Windows,11.482734262805998
Dell,Notebook,8,2.13,0,0,141.21199808219862,Intel Core i5,0,256,0,0,AMD,Windows,11.382190159647706
Lenovo,Gaming,16,2.5,0,1,141.21199808219862,Intel Core i7,0,256,0,0,Nvidia,Windows,11.775681960197485
Acer,Notebook,4,2.1,0,0,100.45466986113651,Other Intel processors,1024,0,0,0,Intel,Windows,10.644090674252368
MSI,Gaming,16,2.4,0,1,141.21199808219862,Intel Core i7,1024,256,0,0,Nvidia,Windows,12.28688275098639
Acer,Notebook,4,2.1,0,0,100.45466986113651,Other Intel processors,1024,0,0,0,Intel,Windows,10.687685855980014
Dell,Gaming,8,2.56,0,0,141.21199808219862,Intel Core i7,1024,128,0,0,Nvidia,Windows,11.758378303204273
Acer,Notebook,8,3.0,0,1,127.33567457123111,Intel Core i5,0,256,0,0,Nvidia,Windows,11.541823855012877
HP,Notebook,4,1.49,0,1,165.6321180513006,Intel Core i5,512,0,0,0,Intel,Windows,11.417284230373312
Huawei,Ultrabook,8,1.05,0,1,199.69207064108247,Intel Core i5,0,256,0,0,Intel,Windows,11.999011575046008
HP,Notebook,6,2.71,0,1,127.33567457123111,Intel Core i5,2048,0,0,0,AMD,Windows,11.341543848214608
Lenovo,Notebook,4,2.2,0,0,100.45466986113651,AMD Processor,512,0,0,0,AMD,Others/No OS/Linux,10.525219286685545
Toshiba,Notebook,4,2.0,0,0,100.45466986113651,Intel Core i3,512,0,0,0,Intel,Windows,10.98425828974124
HP,Notebook,8,2.5,0,0,127.33567457123111,Intel Core i5,0,256,0,0,Nvidia,Windows,11.619526211224043
Dell,Notebook,8,2.3,0,0,100.45466986113651,Intel Core i3,1024,0,0,0,Intel,Windows,10.92094401424323
Acer,Notebook,4,2.1,0,0,100.45466986113651,Intel Core i3,0,128,0,0,Intel,Windows,10.898903648375788
MSI,Gaming,32,4.4,0,0,119.7232157653423,Intel Core i7,1024,512,0,0,Nvidia,Windows,12.728914780958565
Lenovo,Notebook,8,1.9,0,0,141.21199808219862,Intel Core i5,1024,128,0,0,AMD,Windows,11.492620711629865
HP,2 in 1 Convertible,8,1.29,1,1,331.2642361026012,Intel Core i5,0,256,0,0,Intel,Windows,12.104449581335809
Dell,Notebook,16,2.02,0,0,141.21199808219862,Intel Core i7,2048,256,0,0,AMD,Others/No OS/Linux,11.747483621099692
Dell,Ultrabook,8,1.23,0,0,165.6321180513006,Intel Core i5,0,256,0,0,Intel,Windows,12.035408871953685
Lenovo,2 in 1 Convertible,16,1.4,1,1,316.96506044349616,Intel Core i7,0,512,0,0,Intel,Windows,12.314294563469018
Toshiba,Notebook,8,2.0,0,0,100.45466986113651,Intel Core i5,0,128,0,0,Intel,Windows,11.46771887213215
Xiaomi,Notebook,8,1.95,0,1,141.21199808219862,Intel Core i5,0,256,0,0,Nvidia,Others/No OS/Linux,11.881138587375505
Dell,Notebook,16,2.77,1,0,127.33567457123111,Intel Core i7,0,512,0,0,Nvidia,Windows,12.137258329529814
Dell,Notebook,16,2.06,1,0,282.42399616439724,Intel Core i7,0,512,0,0,Nvidia,Windows,12.57387049990858
Lenovo,Gaming,8,2.4,0,1,141.21199808219862,Intel Core i5,0,256,0,0,Nvidia,Others/No OS/Linux,11.449900464548778
Acer,Ultrabook,8,1.12,0,1,165.6321180513006,Intel Core i5,0,256,0,0,Intel,Windows,11.68859159009734
Dell,Notebook,8,2.8,0,0,127.33567457123111,Intel Core i7,1024,128,0,0,AMD,Windows,11.781233568238811
Lenovo,2 in 1 Convertible,16,1.42,1,0,209.8006828649808,Intel Core i7,0,1024,0,0,Intel,Windows,12.737806167907845
Vero,Notebook,4,1.3,0,1,157.3505121487356,Other Intel processors,0,0,0,32,Intel,Windows,10.35255478701417
Xiaomi,Ultrabook,8,1.3,0,1,165.6321180513006,Intel Core i5,0,256,0,0,Nvidia,Others/No OS/Linux,11.699546100800337
Lenovo,Notebook,8,2.8,0,0,106.11306214269258,Intel Core i5,0,256,0,0,Nvidia,Others/No OS/Linux,11.340106614107878
Dell,2 in 1 Convertible,8,1.62,1,1,165.6321180513006,Intel Core i7,1024,0,0,0,Intel,Windows,11.524102765560354
HP,Notebook,8,2.5,0,1,127.33567457123111,Intel Core i5,1024,0,0,0,Nvidia,Windows,11.609725443563939
Razer,Gaming,32,3.49,1,0,254.67134914246222,Intel Core i7,0,1024,0,0,Nvidia,Windows,13.507778147538557
HP,Notebook,8,1.49,0,0,165.6321180513006,Intel Core i5,0,512,0,0,Intel,Windows,11.657787423603802
HP,Gaming,16,3.35,0,1,127.33567457123111,Intel Core i7,1024,256,0,0,Nvidia,Windows,12.021007328065156
HP,Notebook,8,2.5,0,0,127.33567457123111,Intel Core i7,0,256,0,0,Nvidia,Windows,11.743664100472873
Dell,Gaming,16,2.65,0,1,282.42399616439724,Intel Core i7,1024,512,0,0,Nvidia,Windows,12.312129418744442
Lenovo,Notebook,4,2.1,0,0,100.45466986113651,Intel Core i5,0,128,0,0,Intel,Windows,10.992402978225373
Acer,Notebook,8,2.23,0,0,141.21199808219862,Intel Core i7,1024,0,0,0,Nvidia,Windows,11.401245020567583
Lenovo,Gaming,16,3.2,0,1,141.21199808219862,Intel Core i7,1024,512,0,0,Nvidia,Windows,12.258693558242383
Dell,Workstation,16,2.8,0,0,282.42399616439724,Other Intel processors,1024,256,0,0,Nvidia,Windows,12.816433148839762
Lenovo,Gaming,16,2.4,0,0,141.21199808219862,Intel Core i7,0,512,0,0,Nvidia,Others/No OS/Linux,12.034691028774553
Dell,Notebook,6,2.3,1,0,100.45466986113651,Intel Core i3,1024,0,0,0,Intel,Windows,10.876385435221573
Dell,Ultrabook,8,1.21,1,1,331.2642361026012,Intel Core i7,0,256,0,0,Intel,Windows,12.366966254910508
Dell,Ultrabook,8,1.2,0,0,165.6321180513006,Intel Core i7,0,256,0,0,Intel,Windows,12.070522072875882
Lenovo,Notebook,8,2.2,0,0,100.45466986113651,Intel Core i5,0,256,0,0,Intel,Windows,11.183810100082576
Acer,Notebook,8,2.4,0,0,141.21199808219862,Intel Core i7,1024,0,0,0,Nvidia,Others/No OS/Linux,11.449900464548778
Asus,Gaming,16,2.9,0,0,127.33567457123111,Intel Core i7,1024,256,0,0,Nvidia,Windows,12.041109555032365
HP,Notebook,4,2.1,0,0,141.21199808219862,Intel Core i3,512,0,0,0,Intel,Others/No OS/Linux,10.646947546969663
Lenovo,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i5,0,256,0,0,Intel,Others/No OS/Linux,11.099982467006106
Huawei,Ultrabook,8,1.05,0,1,199.69207064108247,Intel Core i7,0,512,0,0,Intel,Windows,12.104449581335809
Dell,Ultrabook,8,1.4,0,1,165.6321180513006,Intel Core i7,0,256,0,0,AMD,Windows,11.629098316086102
Lenovo,Notebook,8,2.8,0,0,106.11306214269258,Intel Core i5,1024,0,0,0,Nvidia,Others/No OS/Linux,11.170322473618691
HP,Notebook,8,1.63,0,0,157.3505121487356,Intel Core i7,0,256,0,0,Nvidia,Windows,11.730179708304206
Dell,Ultrabook,8,1.6,0,0,157.3505121487356,Intel Core i5,0,256,0,0,Intel,Windows,11.838538958256565
Dell,2 in 1 Convertible,16,1.62,1,0,165.6321180513006,Intel Core i7,0,512,0,0,Intel,Windows,11.945726842597908
Dell,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i5,0,256,0,0,AMD,Others/No OS/Linux,11.310074616923782
Lenovo,2 in 1 Convertible,8,1.74,0,1,157.3505121487356,Intel Core i5,0,256,0,0,Intel,Windows,11.59317738152729
